ORDRE,NOM,SEXE,DECADA,FREQUENCIA
15,PILAR,Dona,TOTAL,6571
16,SILVIA,Dona,TOTAL,6160
17,ANA MARIA,Dona,TOTAL,5827
18,ROSA,Dona,TOTAL,5819
19,JULIA,Dona,TOTAL,5747
20,FRANCISCA,Dona,TOTAL,5309
21,TERESA,Dona,TOTAL,5122
22,ANTONIA,Dona,TOTAL,5018
23,ELENA,Dona,TOTAL,5009
24,SARA,Dona,TOTAL,4999
25,DOLORES,Dona,TOTAL,4887
26,LAIA,Dona,TOTAL,4868
27,MONICA,Dona,TOTAL,4771
28,CONCEPCION,Dona,TOTAL,4545
29,M DOLORES,Dona,TOTAL,4534
30,EVA,Dona,TOTAL,4455
31,PAULA,Dona,TOTAL,4424
32,M PILAR,Dona,TOTAL,4305
33,MIREIA,Dona,TOTAL,4221
34,ESTHER,Dona,TOTAL,3973
35,SANDRA,Dona,TOTAL,3857
36,MARINA,Dona,TOTAL,3839
37,ALBA,Dona,TOTAL,3827
38,RAQUEL,Dona,TOTAL,3823
39,M ROSA,Dona,TOTAL,3798
40,M ISABEL,Dona,TOTAL,3736
41,CARLA,Dona,TOTAL,3733
42,GEMMA,Dona,TOTAL,3695
43,MARGARITA,Dona,TOTAL,3680
44,ROSA MARIA,Dona,TOTAL,3675
45,M ANGELES,Dona,TOTAL,3672
46,LUCIA,Dona,TOTAL,3664
47,SONIA,Dona,TOTAL,3624
48,ANDREA,Dona,TOTAL,3611
49,IRENE,Dona,TOTAL,3448
50,SUSANA,Dona,TOTAL,3421
1,ANTONIO,Home,TOTAL,16211
2,JOSE,Home,TOTAL,15109
3,JORDI,Home,TOTAL,13528
4,DAVID,Home,TOTAL,12431
5,MANUEL,Home,TOTAL,12060
6,FRANCISCO,Home,TOTAL,11765
7,CARLOS,Home,TOTAL,10670
8,JUAN,Home,TOTAL,10360
9,MARC,Home,TOTAL,10143
10,DANIEL,Home,TOTAL,9746
11,JAVIER,Home,TOTAL,8275
12,JORGE,Home,TOTAL,7983
13,JOAN,Home,TOTAL,7098
14,ALEJANDRO,Home,TOTAL,6779
15,MIGUEL,Home,TOTAL,6282
16,ALBERT,Home,TOTAL,6205
17,RAMON,Home,TOTAL,6203
18,LUIS,Home,TOTAL,5941
19,XAVIER,Home,TOTAL,5816
20,VICTOR,Home,TOTAL,5796
21,PEDRO,Home,TOTAL,5790
22,SERGIO,Home,TOTAL,5594
23,ALBERTO,Home,TOTAL,5591
24,JOSEP,Home,TOTAL,5240
25,OSCAR,Home,TOTAL,5034
26,RAFAEL,Home,TOTAL,4788
27,FERNANDO,Home,TOTAL,4719
28,ALEX,Home,TOTAL,4508
29,ANGEL,Home,TOTAL,4437
30,ENRIQUE,Home,TOTAL,4310
31,FRANCISCO JAVIER,Home,TOTAL,4188
32,JOSE M,Home,TOTAL,4148
33,PAU,Home,TOTAL,4061
34,JESUS,Home,TOTAL,4028
35,PABLO,Home,TOTAL,3997
36,POL,Home,TOTAL,3954
37,JOSE LUIS,Home,TOTAL,3906
38,JAIME,Home,TOTAL,3859
39,ORIOL,Home,TOTAL,3689
40,JOAQUIN,Home,TOTAL,3565
41,SANTIAGO,Home,TOTAL,3562
42,EDUARDO,Home,TOTAL,3446
43,SERGI,Home,TOTAL,3434
44,IVAN,Home,TOTAL,3293
45,JAUME,Home,TOTAL,3161
46,JOSE MARIA,Home,TOTAL,3136
47,RAUL,Home,TOTAL,3135
48,GERARD,Home,TOTAL,3015
49,JOSE ANTONIO,Home,TOTAL,3002
50,ROGER,Home,TOTAL,2970
